CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,MEDIA_13_LP,MEDIA_13_MT,MEDIA_14_LP,MEDIA_14_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LPEMT,nivel_1_LPEMT,nivel_2_LPEMT,nivel_3_LPEMT,nivel_4_LPEMT,nivel_5_LPEMT,nivel_6_LPEMT,nivel_7_LPEMT,nivel_8_LPEMT,nivel_0_MTEMT,nivel_1_MTEMT,nivel_2_MTEMT,nivel_3_MTEMT,nivel_4_MTEMT,nivel_5_MTEMT,nivel_6_MTEMT,nivel_7_MTEMT,nivel_8_MTEMT,nivel_9_MTEMT,nivel_10_MTEMT,nivel_0_LPEMI,nivel_1_LPEMI,nivel_2_LPEMI,nivel_3_LPEMI,nivel_4_LPEMI,nivel_5_LPEMI,nivel_6_LPEMI,nivel_7_LPEMI,nivel_8_LPEMI,nivel_0_MTEMI,nivel_1_MTEMI,nivel_2_MTEMI,nivel_3_MTEMI,nivel_4_MTEMI,nivel_5_MTEMI,nivel_6_MTEMI,nivel_7_MTEMI,nivel_8_MTEMI,nivel_9_MTEMI,nivel_10_MTEMI,nivel_0_LPEM,nivel_1_LPEM,nivel_2_LPEM,nivel_3_LPEM,nivel_4_LPEM,nivel_5_LPEM,nivel_6_LPEM,nivel_7_LPEM,nivel_8_LPEM,nivel_0_MTEM,nivel_1_MTEM,nivel_2_MTEM,nivel_3_MTEM,nivel_4_MTEM,nivel_5_MTEM,nivel_6_MTEM,nivel_7_MTEM,nivel_8_MTEM,nivel_9_MTEM,nivel_10_MTEM
25,Paraíba,2500106,Água Branca,Estadual,Total,,,"248,49","245,26","274,68","281,98",,,"274,68","281,98",,,,,,,,,,,,,,,,,,,,,,"9,09","22,73","13,64","22,73","22,73","9,09",0,0,0,"13,64","13,64","27,27","22,73","13,64","9,09",0,0,0,0,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0,,,,,,,,,,,,,,,,,,,,,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0
25,Paraíba,2500106,Água Branca,Estadual,Urbana,,,"248,49","245,26","274,68","281,98",,,"274,68","281,98",,,,,,,,,,,,,,,,,,,,,,"9,09","22,73","13,64","22,73","22,73","9,09",0,0,0,"13,64","13,64","27,27","22,73","13,64","9,09",0,0,0,0,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0,,,,,,,,,,,,,,,,,,,,,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0
25,Paraíba,2500106,Água Branca,Municipal,Rural,"190,57","210,63","268,32","299,22",,,,,,,"6,9","10,34","20,69","27,59","20,69","3,45","6,9",0,0,"3,45",0,"3,45","10,34","27,59","17,24","27,59","10,34","3,45",0,0,0,0,"14,29","21,43","17,86",25,"14,29","7,14",0,0,0,"7,14","3,57","14,29","17,86","21,43","28,57","7,14",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Paraíba,2500106,Água Branca,Municipal,Total,"209,85","223,79","271,09","291,12",,,,,,,"3,19","8,1","9,77","23,59","19,67","14,06","12,26","6,03","2,54","0,79",0,"4,09","9,85","16,24","19,59","20,45","18,15","9,83","0,9","0,9",0,"6,62","7,22","16,12","20,7","25,79","10,14","9,66","3,74",0,"4,42","4,32","9,79","13,18","25,86","15,2","16,89","7,39","2,96",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Paraíba,2500106,Água Branca,Municipal,Urbana,"215,59","227,71","271,76","289,18",,,,,,,"2,09","7,43","6,51","22,4","19,37","17,22","13,85","7,83","3,3",0,0,"4,28","9,71","12,86","20,29","18,33","20,47","11,73","1,17","1,17",0,"8,21","5,54","14,85","21,38","25,98","9,15","10,27","4,64",0,"5,48","3,65","11,27","12,91","27,77","13,71","14,09","7,45","3,67",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Paraíba,2500106,Água Branca,Total - Estadual e Municipal,Rural,"190,57","210,63","268,32","299,22",,,,,,,"6,9","10,34","20,69","27,59","20,69","3,45","6,9",0,0,"3,45",0,"3,45","10,34","27,59","17,24","27,59","10,34","3,45",0,0,0,0,"14,29","21,43","17,86",25,"14,29","7,14",0,0,0,"7,14","3,57","14,29","17,86","21,43","28,57","7,14",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Paraíba,2500106,Água Branca,Total - Estadual e Municipal,Total,"209,85","223,79","268,12","285,08","274,68","281,98",,,"274,68","281,98","3,19","8,1","9,77","23,59","19,67","14,06","12,26","6,03","2,54","0,79",0,"4,09","9,85","16,24","19,59","20,45","18,15","9,83","0,9","0,9",0,"6,95","9,27","15,79","20,97","25,39",10,"8,39","3,25",0,"5,63","5,55","12,09","14,44","24,25","14,4","14,66","6,42","2,57",0,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0,,,,,,,,,,,,,,,,,,,,,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0
25,Paraíba,2500106,Água Branca,Total - Estadual e Municipal,Urbana,"215,59","227,71","268,07","282,23","274,68","281,98",,,"274,68","281,98","2,09","7,43","6,51","22,4","19,37","17,22","13,85","7,83","3,3",0,0,"4,28","9,71","12,86","20,29","18,33","20,47","11,73","1,17","1,17",0,"8,35","8,26","14,66","21,59","25,47","9,14","8,64","3,9",0,"6,77","5,23","13,8","14,47","25,54","12,98","11,86","6,27","3,09",0,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0,,,,,,,,,,,,,,,,,,,,,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0
25,Paraíba,2500106,Água Branca,"Total - Federal, Estadual e Municipal",Rural,"190,57","210,63","268,32","299,22",,,,,,,"6,9","10,34","20,69","27,59","20,69","3,45","6,9",0,0,"3,45",0,"3,45","10,34","27,59","17,24","27,59","10,34","3,45",0,0,0,0,"14,29","21,43","17,86",25,"14,29","7,14",0,0,0,"7,14","3,57","14,29","17,86","21,43","28,57","7,14",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Paraíba,2500106,Água Branca,"Total - Federal, Estadual e Municipal",Total,"209,85","223,79","268,12","285,08","274,68","281,98",,,"274,68","281,98","3,19","8,1","9,77","23,59","19,67","14,06","12,26","6,03","2,54","0,79",0,"4,09","9,85","16,24","19,59","20,45","18,15","9,83","0,9","0,9",0,"6,95","9,27","15,79","20,97","25,39",10,"8,39","3,25",0,"5,63","5,55","12,09","14,44","24,25","14,4","14,66","6,42","2,57",0,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0,,,,,,,,,,,,,,,,,,,,,"19,15","14,38","16,4","17,27","19,65","8,68","2,98","1,49",0,"11,31","10,05","23,8","23,41",15,"10,38","1,49","3,07","1,49",0,0
