CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,MEDIA_13_LP,MEDIA_13_MT,MEDIA_14_LP,MEDIA_14_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LPEMT,nivel_1_LPEMT,nivel_2_LPEMT,nivel_3_LPEMT,nivel_4_LPEMT,nivel_5_LPEMT,nivel_6_LPEMT,nivel_7_LPEMT,nivel_8_LPEMT,nivel_0_MTEMT,nivel_1_MTEMT,nivel_2_MTEMT,nivel_3_MTEMT,nivel_4_MTEMT,nivel_5_MTEMT,nivel_6_MTEMT,nivel_7_MTEMT,nivel_8_MTEMT,nivel_9_MTEMT,nivel_10_MTEMT,nivel_0_LPEMI,nivel_1_LPEMI,nivel_2_LPEMI,nivel_3_LPEMI,nivel_4_LPEMI,nivel_5_LPEMI,nivel_6_LPEMI,nivel_7_LPEMI,nivel_8_LPEMI,nivel_0_MTEMI,nivel_1_MTEMI,nivel_2_MTEMI,nivel_3_MTEMI,nivel_4_MTEMI,nivel_5_MTEMI,nivel_6_MTEMI,nivel_7_MTEMI,nivel_8_MTEMI,nivel_9_MTEMI,nivel_10_MTEMI,nivel_0_LPEM,nivel_1_LPEM,nivel_2_LPEM,nivel_3_LPEM,nivel_4_LPEM,nivel_5_LPEM,nivel_6_LPEM,nivel_7_LPEM,nivel_8_LPEM,nivel_0_MTEM,nivel_1_MTEM,nivel_2_MTEM,nivel_3_MTEM,nivel_4_MTEM,nivel_5_MTEM,nivel_6_MTEM,nivel_7_MTEM,nivel_8_MTEM,nivel_9_MTEM,nivel_10_MTEM
26,Pernambuco,2600054,Abreu e Lima,Estadual,Total,,,"243,8","240,7","276,06","267,62",,,"276,06","267,62",,,,,,,,,,,,,,,,,,,,,,"17,29","17,94","19,7","19,15","15,66","6,34","3,34","0,57",0,"17,92","18,53","20,74","21,27","13,96","5,05","1,85","0,57","0,12",0,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0,,,,,,,,,,,,,,,,,,,,,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0
26,Pernambuco,2600054,Abreu e Lima,Estadual,Urbana,,,"243,8","240,7","276,06","267,62",,,"276,06","267,62",,,,,,,,,,,,,,,,,,,,,,"17,29","17,94","19,7","19,15","15,66","6,34","3,34","0,57",0,"17,92","18,53","20,74","21,27","13,96","5,05","1,85","0,57","0,12",0,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0,,,,,,,,,,,,,,,,,,,,,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0
26,Pernambuco,2600054,Abreu e Lima,Municipal,Rural,"193,2","194,62",,,,,,,,,"2,36",15,"20,1","20,24","14,15","19,74","6,01","2,42",0,0,"2,25","12,01","22,34","22,42","19,74","11,86","5,9","3,48",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pernambuco,2600054,Abreu e Lima,Municipal,Total,"197,37","200,17",,,,,,,,,"3,57","12,86","14,88","21,67","20,71","14,92","6,92","3,52","0,95",0,"1,39","6,7","18,5","24,49","23,49","16,01","6,64","2,21","0,46","0,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pernambuco,2600054,Abreu e Lima,Municipal,Urbana,"197,8","200,74",,,,,,,,,"3,69","12,64","14,35","21,82","21,39","14,42","7,01","3,64","1,05",0,"1,3","6,16","18,11","24,7","23,88","16,44","6,72","2,08","0,5","0,12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pernambuco,2600054,Abreu e Lima,Total - Estadual e Municipal,Rural,"193,2","194,62",,,,,,,,,"2,36",15,"20,1","20,24","14,15","19,74","6,01","2,42",0,0,"2,25","12,01","22,34","22,42","19,74","11,86","5,9","3,48",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pernambuco,2600054,Abreu e Lima,Total - Estadual e Municipal,Total,"197,37","200,17","243,8","240,7","276,06","267,62",,,"276,06","267,62","3,57","12,86","14,88","21,67","20,71","14,92","6,92","3,52","0,95",0,"1,39","6,7","18,5","24,49","23,49","16,01","6,64","2,21","0,46","0,1",0,"17,29","17,94","19,7","19,15","15,66","6,34","3,34","0,57",0,"17,92","18,53","20,74","21,27","13,96","5,05","1,85","0,57","0,12",0,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0,,,,,,,,,,,,,,,,,,,,,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0
26,Pernambuco,2600054,Abreu e Lima,Total - Estadual e Municipal,Urbana,"197,8","200,74","243,8","240,7","276,06","267,62",,,"276,06","267,62","3,69","12,64","14,35","21,82","21,39","14,42","7,01","3,64","1,05",0,"1,3","6,16","18,11","24,7","23,88","16,44","6,72","2,08","0,5","0,12",0,"17,29","17,94","19,7","19,15","15,66","6,34","3,34","0,57",0,"17,92","18,53","20,74","21,27","13,96","5,05","1,85","0,57","0,12",0,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0,,,,,,,,,,,,,,,,,,,,,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0
26,Pernambuco,2600054,Abreu e Lima,"Total - Federal, Estadual e Municipal",Rural,"193,2","194,62",,,,,,,,,"2,36",15,"20,1","20,24","14,15","19,74","6,01","2,42",0,0,"2,25","12,01","22,34","22,42","19,74","11,86","5,9","3,48",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pernambuco,2600054,Abreu e Lima,"Total - Federal, Estadual e Municipal",Total,"197,37","200,17","243,8","240,7","276,06","267,62",,,"276,06","267,62","3,57","12,86","14,88","21,67","20,71","14,92","6,92","3,52","0,95",0,"1,39","6,7","18,5","24,49","23,49","16,01","6,64","2,21","0,46","0,1",0,"17,29","17,94","19,7","19,15","15,66","6,34","3,34","0,57",0,"17,92","18,53","20,74","21,27","13,96","5,05","1,85","0,57","0,12",0,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0,,,,,,,,,,,,,,,,,,,,,"15,85","13,77","16,73","20,19","18,91","9,58","4,53","0,44",0,"21,94","14,21","20,33","17,01","13,09","8,21","3,66","1,54",0,0,0
